rank,uri,artist_names,track_name,peak_rank,previous_rank,weeks_on_chart,streams,date,country,source
47,spotify:track:5wANPM4fQCJwkGd4rN57mH,Olivia Rodrigo,drivers license,1,50,39,2559779,2021-10-07,US,Olivia Rodrigo PS
48,spotify:track:2tUL6dZf1mywCj5WvCPZw6,Drake,No Friends In The Industry,9,37,5,2554413,2021-10-07,US,OVO
49,spotify:track:5SixeLvPsYpk7qq9lo5xYg,Chlöe,Have Mercy,43,43,4,2540065,2021-10-07,US,Parkwood Entertainment/Columbia
50,spotify:track:4iJyoBOLtHqaGxP12qzhQI,"Justin Bieber, Daniel Caesar, Giveon",Peaches (feat. Daniel Caesar & Giveon),1,46,29,2535303,2021-10-07,US,RBMG/Def Jam
51,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,1,54,97,2527508,2021-10-07,US,Republic Records
52,spotify:track:6LNoArVBBVZzUTUiAX2aKO,Kanye West,Off The Grid,4,39,6,2453165,2021-10-07,US,Rock The World/IDJ/Kanye LP7
53,spotify:track:1sx0XsWUusUoPstbvokZjP,Tai Verdes,AOK,39,52,17,2437680,2021-10-07,US,Arista Records
54,spotify:track:1Ov37jtRQ2YNAe8HzfczkL,Taylor Swift,Wildest Dreams (Taylor's Version),20,31,3,2407550,2021-10-07,US,Taylor Swift
55,spotify:track:37BZB0z9T8Xu7U3e65qxFy,"The Weeknd, Ariana Grande",Save Your Tears (with Ariana Grande) (Remix),5,56,24,2402772,2021-10-07,US,Republic Records
56,spotify:track:5gZYpjakt37G3c58FKcQwJ,"Trippie Redd, Playboi Carti",Miss The Rage,4,57,22,2311486,2021-10-07,US,Homemade Projects / 10K Projects
57,spotify:track:2JPLbjOn0wPCngEot2STUS,Bad Bunny,Yonaguni,5,58,18,2265558,2021-10-07,US,Rimas Entertainment LLC
58,spotify:track:0k4d5YPDr1r7FX77VdqWez,"Doja Cat, The Weeknd",You Right,4,66,15,2259295,2021-10-07,US,Kemosabe Records/RCA Records
59,spotify:track:0WSEq9Ko4kFPt8yo3ICd6T,Kanye West,Praise God,7,94,6,2248373,2021-10-07,US,Rock The World/IDJ/Kanye LP7
60,spotify:track:4s7TIubkdsgdtDEDFEAYVL,Meek Mill,Intro (Hate on Me),60,-1,1,2212606,2021-10-07,US,MMG/Atlantic
61,spotify:track:7nc7mlSdWYeFom84zZ8Wr8,"Cochise, $NOT",Tell Em,26,65,19,2189804,2021-10-07,US,Columbia
62,spotify:track:6M3PsepEj5gyJoIi7Xvr7u,The Weeknd,Take My Breath - Single Version,5,59,9,2185729,2021-10-07,US,XO / Republic Records
63,spotify:track:0RiRZpuVRbi7oqRdSMwhQY,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,1,69,155,2162028,2021-10-07,US,Republic Records
64,spotify:track:5JCoSi02qi3jJeHdZXMmR8,Olivia Rodrigo,favorite crime,5,61,20,2161036,2021-10-07,US,Olivia Rodrigo PS
65,spotify:track:2ZXxRC6V6AXzMdbLQZMHSB,Lil Tecca,LOT OF ME,65,90,3,2138441,2021-10-07,US,Galactic / Republic Records
66,spotify:track:7MAibcTli4IisCtbHKrGMh,"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open,4,67,31,2122481,2021-10-07,US,Aftermath Entertainment/Atlantic
67,spotify:track:2vWBUC9djv6BtiGlmKiQaH,Yot Club,YKWIM?,67,83,14,2120349,2021-10-07,US,yot club under exclusive license to Amuseio AB
68,spotify:track:5zNW5ARjYhJQJz1AChP33n,Megan Thee Stallion,Thot Shit,11,64,17,2113417,2021-10-07,US,300 Entertainment
69,spotify:track:7kDUspsoYfLkWnZR7qwHZl,"Machine Gun Kelly, blackbear",my ex's best friend (with blackbear),11,68,61,2106185,2021-10-07,US,Bad Boy/Interscope Records
70,spotify:track:1CrPPsibP3uTc3DSI5vQC5,"Kali Uchis, SZA",fue mejor (feat. SZA),70,-1,1,2105791,2021-10-07,US,EMI / Interscope
71,spotify:track:3FAJ6O0NOHQV8Mc5Ri6ENp,Giveon,Heartbreak Anniversary,9,70,35,2085015,2021-10-07,US,Epic/Not So Fast
72,spotify:track:4qu63nuBpdn0qHUHuObEj1,"Marshmello, Jonas Brothers",Leave Before You Love Me (with Jonas Brothers),45,73,20,2082955,2021-10-07,US,Republic Records
73,spotify:track:21jGcNKet2qwijlDFuPiPb,Post Malone,Circles,1,71,110,2080852,2021-10-07,US,Republic Records
74,spotify:track:0Fs9cdPDhptWEDJmiCbkEW,"J. Cole, Cults, Amber Coffman",She Knows (feat. Amber Coffman & Cults),74,77,10,2061422,2021-10-07,US,Roc Nation LLC
75,spotify:track:6cUHiQEECDl5m3WFGQ1GCR,"Trippie Redd, Polo G, Lil Durk",Rich MF (feat. Lil Durk),21,72,7,2036346,2021-10-07,US,Homemade Projects / 10K Projects
76,spotify:track:003vvx7Niy0yvhvHt4a68B,The Killers,Mr. Brightside,76,89,62,2028760,2021-10-07,US,Island Records
77,spotify:track:6UelLqGlWMcVH1E5c4H7lY,Harry Styles,Watermelon Sugar,4,102,99,2027521,2021-10-07,US,Columbia
78,spotify:track:7CIERzyqIwLVKGp00YbHRO,PinkPantheress,Pain,48,75,14,2024412,2021-10-07,US,Parlophone UK
79,spotify:track:6tDDoYIxWvMLTdKpjFkc1B,Kali Uchis,telepatía,4,81,34,2018109,2021-10-07,US,EMI / Interscope
80,spotify:track:0uxSUdBrJy9Un0EYoBowng,Lil Uzi Vert,20 Min,80,92,87,2016375,2021-10-07,US,Generation Now/Atlantic
81,spotify:track:1VLtjHwRWOVJiE5Py7JxoQ,Polo G,Martin & Gina,23,84,62,2013016,2021-10-07,US,Columbia
82,spotify:track:3YJJjQPAbDT7mGpX3WtQ9A,SZA,Good Days,1,74,41,2000047,2021-10-07,US,Top Dawg Entertainment/RCA Records
83,spotify:track:4VXIryQMWpIdGgYR4TrjT1,Juice WRLD,All Girls Are The Same,13,93,180,1995463,2021-10-07,US,Juice WRLD Mixtape / ISR P&D
84,spotify:track:4HTY26kzdGCKJF1EqcRd2J,"Lil Wayne, Rich The Kid",Feelin' Like Tunechi,84,-1,1,1990504,2021-10-07,US,Republic Records
85,spotify:track:29TPjc8wxfz4XMn21O7VsZ,Playboi Carti,Sky,85,145,7,1988474,2021-10-07,US,AWGE/Interscope Records
86,spotify:track:04sN26COy28wTXYj3dMoiZ,Billie Eilish,Bored,86,117,2,1977696,2021-10-07,US,Darkroom
87,spotify:track:5JKnYZOhSP7rOK0jPYcCjV,"WILLOW, Travis Barker",t r a n s p a r e n t s o u l feat. Travis Barker,20,79,21,1971486,2021-10-07,US,"MSFTSMusic / Roc Nation Records, LLC"
88,spotify:track:0MMyJUC3WNnFS1lit5pTjk,Olivia Rodrigo,"jealousy, jealousy",10,85,20,1968208,2021-10-07,US,Olivia Rodrigo PS
89,spotify:track:6pmNoWKk0r6zfIjWneJRxR,"DaBaby, Lil Wayne",Lonely (with Lil Wayne),47,62,4,1967891,2021-10-07,US,South Coast Music / Interscope PS
90,spotify:track:0qXP5fMhxGzxALOkXYUxfP,A-Wall,Loverboy,61,76,8,1954096,2021-10-07,US,Lord A-Wall Records
91,spotify:track:4jPy3l0RUwlUI9T5XHBW2m,"24kGoldn, iann dior",Mood (feat. iann dior),2,88,61,1953662,2021-10-07,US,Records/Columbia
92,spotify:track:7hU3IHwjX150XLoTVmjD0q,LISA,MONEY,92,-1,1,1951618,2021-10-07,US,YG Entertainment/Interscope Records
93,spotify:track:6SRsiMl7w1USE4mFqrOhHC,Olivia Rodrigo,brutal,4,80,20,1942911,2021-10-07,US,Olivia Rodrigo PS
94,spotify:track:2vmfvSoZBFAt9hhRoEByLi,"Aventura, Bad Bunny",Volví,17,87,10,1930471,2021-10-07,US,Rimas Entertainment LLC
95,spotify:track:51pshtuYkgUQnt5huMPbKL,"Mac Miller, Empire of the Sun",The Spins,91,91,32,1918039,2021-10-07,US,Rostrum Records
96,spotify:track:0ofHAoxe9vBkTCp2UQIavz,Fleetwood Mac,Dreams - 2004 Remaster,6,100,57,1914081,2021-10-07,US,Rhino/Warner Records
97,spotify:track:32BeYxKPrig1LefHsC0Xuo,Billie Eilish,Happier Than Ever - Edit,97,113,4,1909239,2021-10-07,US,Darkroom/Interscope Records
98,spotify:track:2Y0wPrPQBrGhoLn14xRYCG,"Juice WRLD, Marshmello",Come & Go (with Marshmello),1,97,65,1900508,2021-10-07,US,Grade A Productions/Interscope Records
99,spotify:track:5E30LdtzQTGqRvNd7l6kG5,The Neighbourhood,Daddy Issues,59,110,56,1895067,2021-10-07,US,Columbia
100,spotify:track:2tGvwE8GcFKwNdAXMnlbfl,Olivia Rodrigo,happier,5,96,20,1894712,2021-10-07,US,Olivia Rodrigo PS
1,spotify:track:46IZ0fSY2mpAiktS3KOqds,Adele,Easy On Me,1,1,7,7984911,2021-12-02,US,Columbia
2,spotify:track:5enxwA8aAbwZbf5qCHORXi,Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),1,2,3,7752149,2021-12-02,US,Taylor Swift
3,spotify:track:5Z9KJZvQzH6PFmb8SNkxuk,"Lil Nas X, Jack Harlow",INDUSTRY BABY (feat. Jack Harlow),1,4,19,6842709,2021-12-02,US,Columbia
4,spotify:track:5PjdY0CKGZdEuoNab3yDmX,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),1,9,21,6153223,2021-12-02,US,Columbia
5,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,4,12,53,6060077,2021-12-02,US,Polydor Records
6,spotify:track:0bYg9bo50gSsH3LtXe2SQn,Mariah Carey,All I Want for Christmas Is You,1,28,38,5939362,2021-12-02,US,Columbia
7,spotify:track:2EjXfH91m7f8HiJN1yQg97,Brenda Lee,Rockin' Around The Christmas Tree,1,38,33,5930242,2021-12-02,US,MCA Nashville
8,spotify:track:4so0Wek9Ig1p6CRCHuINwW,"Bing Crosby, Ken Darby Singers, John Scott Trotter & His Orchestra",White Christmas - 1947 Version,8,106,25,5731465,2021-12-02,US,Geffen
9,spotify:track:7vQbuQcyTflfCIOu3Uzzya,Bobby Helms,Jingle Bell Rock,3,40,32,5690290,2021-12-02,US,Geffen
10,spotify:track:7sMBvZCSUl99bJLXZaLa0b,"Bruno Mars, Anderson .Paak, Silk Sonic",Smokin Out The Window,2,6,4,5610573,2021-12-02,US,Aftermath Entertainment/Atlantic
11,spotify:track:4fouWK6XVHhzl78KzQ1UjL,GAYLE,abcdefu,11,29,3,5550508,2021-12-02,US,Atlantic/Arthouse Records
12,spotify:track:1IcR6RlgvDczfvoWJSSY2A,Andy Williams,It's the Most Wonderful Time of the Year,4,57,30,5070980,2021-12-02,US,Columbia
13,spotify:track:2BcMwX1MPV6ZHP4tUT9uq6,"Drake, 21 Savage, Project Pat",Knife Talk (with 21 Savage ft. Project Pat),2,15,13,4827914,2021-12-02,US,OVO
14,spotify:track:3Kkjo3cT83cw09VJyrLNwX,Adele,Oh My God,3,3,2,4754941,2021-12-02,US,Columbia
15,spotify:track:3Vi5XqYrmQgOYBajMWSvCi,Doja Cat,Need to Know,4,20,25,4432113,2021-12-02,US,Kemosabe Records/RCA Records
16,spotify:track:4ZtFanR9U6ndgddUvNcjcG,Olivia Rodrigo,good 4 u,1,27,29,4353909,2021-12-02,US,Olivia Rodrigo PS
17,spotify:track:0k1WUmIRnG3xU6fvvDVfRG,"Drake, Future, Young Thug",Way 2 Sexy (with Future & Young Thug),1,19,13,4211114,2021-12-02,US,OVO
18,spotify:track:4PS1e8f2LvuTFgUs1Cn3ON,Nat King Cole,The Christmas Song (Merry Christmas To You),12,66,25,4183387,2021-12-02,US,CAPITOL CATALOG MKT (C92)
19,spotify:track:0lLdorYw7lVrJydTINhWdI,Michael Bublé,It's Beginning to Look a Lot like Christmas,7,60,29,4126114,2021-12-02,US,143/Reprise
20,spotify:track:3QFInJAm9eyaho5vBzxInN,"Baby Keem, Kendrick Lamar",family ties (with Kendrick Lamar),8,26,14,4099682,2021-12-02,US,Columbia
21,spotify:track:6f5ExP43esnvdKPddwKXJH,"NEIKED, Mae Muller, Polo G",Better Days (NEIKED x Mae Muller x Polo G),6,18,7,4056082,2021-12-02,US,Capitol Records UK / EMI
22,spotify:track:3DarAbFujv6eYNliUTyqtz,"Doja Cat, SZA",Kiss Me More (feat. SZA),1,31,34,3996971,2021-12-02,US,Kemosabe Records/RCA Records
23,spotify:track:2FRnf9qhLbvw8fu4IBXx78,Wham!,Last Christmas,5,71,31,3885166,2021-12-02,US,Epic
24,spotify:track:1r9xUipOqoNwggBpENDsvJ,"Imagine Dragons, JID, Arcane, League of Legends",Enemy (with JID) - from the series Arcane League of Legends,24,49,5,3806826,2021-12-02,US,KIDinaKORNER/Interscope Records
25,spotify:track:07MDkzWARZaLEdKxo6yArG,"THE ANXIETY, WILLOW, Tyler Cole",Meet Me At Our Spot,10,30,15,3748195,2021-12-02,US,"MSFTSMusic / Roc Nation Records, LLC"
26,spotify:track:3qCeq0rWK67SoBDgFd2sId,José Feliciano,Feliz Navidad,11,107,22,3675324,2021-12-02,US,RCA/BMG Heritage
27,spotify:track:7rglLriMNBPAyuJOMGwi39,"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,21,24,15,3667232,2021-12-02,US,EMI
28,spotify:track:50nfwKoDiSYg8zOCREWAm5,Ed Sheeran,Shivers,8,22,12,3640246,2021-12-02,US,Atlantic Records UK
29,spotify:track:7fUYUcWy853HS8YJn0b3Sr,The Ronettes,Sleigh Ride,14,156,18,3574051,2021-12-02,US,Legacy Recordings
30,spotify:track:4kKdvXD0ez7jp1296JmAts,"Frank Sinatra, B. Swanson Quartet",Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),9,123,26,3554250,2021-12-02,US,Columbia/Legacy
31,spotify:track:00Blm7zeNqgYLPtW6zg8cj,"Post Malone, The Weeknd",One Right Now (with The Weeknd),1,25,4,3502184,2021-12-02,US,Republic Records
32,spotify:track:6Uj1ctrBOjOas8xZXGqKk4,Doja Cat,Woman,12,34,23,3486644,2021-12-02,US,Kemosabe Records/RCA Records
33,spotify:track:37y7iDayfwm3WXn5BiAoRk,Steve Lacy,Dark Red,23,42,17,3346918,2021-12-02,US,Three Quarter
34,spotify:track:0lizgQ7Qw35od7CYaoMBZb,Ariana Grande,Santa Tell Me,5,87,29,3280027,2021-12-02,US,Universal Records
35,spotify:track:77khP2fIVhSW23NwxrRluh,Burl Ives,A Holly Jolly Christmas,10,144,25,3254452,2021-12-02,US,Geffen
36,spotify:track:7qM1BWAsZMTYh4BcYLb0uQ,Juice WRLD,Already Dead,7,23,3,3211477,2021-12-02,US,Grade A Productions/Interscope Records
37,spotify:track:4RVwu0g32PAqgUiJoXsdF8,Billie Eilish,Happier Than Ever,3,43,18,3189745,2021-12-02,US,Darkroom/Interscope Records
38,spotify:track:6w8ZPYdnGajyfPddTWdthN,Adele,Can I Get It,5,5,2,3183574,2021-12-02,US,Columbia
39,spotify:track:2DuPBbS5mIldXnh7Wum8Cy,Adele,My Little Love,7,7,2,3138119,2021-12-02,US,Columbia
40,spotify:track:1SC5rEoYDGUK4NfG82494W,Lil Nas X,MONTERO (Call Me By Your Name),1,48,36,3134966,2021-12-02,US,Columbia
41,spotify:track:29TPjc8wxfz4XMn21O7VsZ,Playboi Carti,Sky,35,44,15,3093604,2021-12-02,US,AWGE/Interscope Records
42,spotify:track:5CZ40GBx1sQ9agT82CLQCT,Olivia Rodrigo,traitor,3,53,28,3089540,2021-12-02,US,Olivia Rodrigo PS
43,spotify:track:2pXpURmn6zC5ZYDMms6fwa,"Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra",It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),31,184,22,3059036,2021-12-02,US,RCA Records Label
44,spotify:track:3rmo8F54jFF8OgYsqTxm5d,Ed Sheeran,Bad Habits,7,41,23,3056025,2021-12-02,US,Atlantic Records UK
45,spotify:track:4XvcHTUfIlWfyJTRG0aqlo,Sleepy Hallow,2055,8,46,24,3034417,2021-12-02,US,Winners Circle/RCA Records
46,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,19,52,67,3005928,2021-12-02,US,Columbia
47,spotify:track:4yNoUQkYf1QF8iYlEzNynH,"Nardo Wick, G Herbo, Lil Durk, 21 Savage","Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",23,50,8,2952383,2021-12-02,US,Not specified
48,spotify:track:0e8nrvls4Qqv5Rfa2UhqmO,Lil Nas X,THATS WHAT I WANT,4,45,11,2892609,2021-12-02,US,Columbia
49,spotify:track:18vXApRmJSgQ6wG2ll9AOg,Polo G,RAPSTAR,1,59,34,2872885,2021-12-02,US,Columbia
50,spotify:track:3nAp4IvdMPPWEH9uuXFFV5,Kelly Clarkson,Underneath the Tree,8,127,19,2846967,2021-12-02,US,RCA Records Label
51,spotify:track:4SqWKzw0CbA05TGszDgMlc,The Walters,I Love You So,45,62,8,2829031,2021-12-02,US,Warner Records
52,spotify:track:47ohYW8e7dxCYn9qbUMBCI,Darlene Love,Christmas (Baby Please Come Home),28,-1,10,2803516,2021-12-02,US,Legacy Recordings
53,spotify:track:7xapw9Oy21WpfEcib2ErSA,Justin Bieber,Mistletoe,15,122,27,2795934,2021-12-02,US,RBMG/Def Jam
54,spotify:track:6v0UJD4a2FtleHeSYVX02A,Adele,I Drink Wine,8,8,2,2791848,2021-12-02,US,Columbia
55,spotify:track:6RfhBNU1FPWTG7VESlfgOl,Polo G,Bad Man (Smooth Criminal),23,32,3,2732720,2021-12-02,US,Columbia
56,spotify:track:04S1pkp1VaIqjg8zZqknR5,Taylor Swift,Enchanted,29,36,4,2699197,2021-12-02,US,"Big Machine Records, LLC"
57,spotify:track:1SV1fxF65n9NhRHp3KlBuu,Paul McCartney,Wonderful Christmastime - Edited Version / Remastered 2011,17,-1,21,2695097,2021-12-02,US,Paul McCartney Catalog
58,spotify:track:0k4d5YPDr1r7FX77VdqWez,"Doja Cat, The Weeknd",You Right,4,61,23,2685691,2021-12-02,US,Kemosabe Records/RCA Records
59,spotify:track:0WSEq9Ko4kFPt8yo3ICd6T,Kanye West,Praise God,7,55,14,2664810,2021-12-02,US,Rock The World/IDJ/Kanye LP7
60,spotify:track:6tjituizSxwSmBB5vtgHZE,Michael Bublé,Holly Jolly Christmas,16,155,21,2657000,2021-12-02,US,143/Reprise
61,spotify:track:3QiAAp20rPC3dcAtKtMaqQ,Elvis Presley,Blue Christmas,30,-1,21,2644455,2021-12-02,US,RCA Victor
62,spotify:track:2B4GHvToeLTOBB4QLzW3Ni,Farruko,Pepas,20,56,19,2624109,2021-12-02,US,Sony Music Latin
63,spotify:track:3NqBxTOMCJ3zW9CIP51td4,"Eslabon Armado, DannyLux",Jugaste y Sufrí,23,54,15,2615068,2021-12-02,US,DEL Records
64,spotify:track:5nujrmhLynf4yMoMtj8AQF,"Dua Lipa, DaBaby",Levitating (feat. DaBaby),4,69,61,2586845,2021-12-02,US,Warner Records
65,spotify:track:1LPSkqVhWVRUkKE03YUkpB,"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open,4,47,39,2577061,2021-12-02,US,Aftermath Entertainment/Atlantic
66,spotify:track:5wANPM4fQCJwkGd4rN57mH,Olivia Rodrigo,drivers license,1,92,47,2570216,2021-12-02,US,Olivia Rodrigo PS
67,spotify:track:0W6I02J9xcqK8MtSeosEXb,Doja Cat,Get Into It (Yuh),18,65,23,2567196,2021-12-02,US,Kemosabe Records/RCA Records
68,spotify:track:09gysnJpfQ3ublBmJDfcEC,"Amaarae, Kali Uchis, Moliy",SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),36,51,5,2546069,2021-12-02,US,0207 Def Jam
69,spotify:track:2pnPe4pJtq7689i5ydzvJJ,Chuck Berry,Run Rudolph Run,27,-1,21,2541294,2021-12-02,US,Geffen*
70,spotify:track:2uFaJJtFpPDc5Pa95XzTvg,Dean Martin,Let It Snow! Let It Snow! Let It Snow!,13,164,18,2520550,2021-12-02,US,Capitol Records
71,spotify:track:6I3mqTwhRpn34SLVafSH7G,Justin Bieber,Ghost,24,64,11,2515029,2021-12-02,US,RBMG/Def Jam
72,spotify:track:1foCxQtxBweJtZmdxhEHVO,"Eartha Kitt, Henri René and His Orchestra",Santa Baby (with Henri René & His Orchestra),53,-1,20,2501201,2021-12-02,US,RCA Bluebird
73,spotify:track:62vpWI1CHwFy7tMIcSStl8,J. Cole,No Role Modelz,43,77,199,2501079,2021-12-02,US,Roc Nation Records LLC
74,spotify:track:40iJIUlhi6renaREYGeIDS,"Drake, Travis Scott",Fair Trade (with Travis Scott),3,58,13,2477289,2021-12-02,US,OVO
75,spotify:track:6a1hzBiTkgqTsDA0Xgfh9z,The Jackson 5,Santa Claus Is Coming To Town,32,-1,11,2450101,2021-12-02,US,UNI/MOTOWN
76,spotify:track:2AaJeBEq3WLcfFW1y8svDf,Rod Wave,By Your Side,76,-1,1,2434839,2021-12-02,US,Alamo
77,spotify:track:0lnpnsrVaW9elGgRxpDCgE,Walker Hayes,Fancy Like,22,72,23,2415537,2021-12-02,US,Monument Records
78,spotify:track:0sTlGEld0h8kIPZaKDYUf4,The Rare Occasions,Notion,75,75,7,2406415,2021-12-02,US,Elektra (NEK)
79,spotify:track:3Wrjm47oTz2sjIgck11l5e,Måneskin,Beggin',5,68,24,2405989,2021-12-02,US,RCA Records Label
80,spotify:track:6HU7h9RYOaPRFeh0R3UeAr,Olivia Rodrigo,deja vu,2,93,35,2396297,2021-12-02,US,Olivia Rodrigo PS
81,spotify:track:27RYrbL6S02LNVhDWVl38b,"John Lennon, Yoko Ono",Happy Xmas (War Is Over) - Remastered 2010,32,-1,20,2387623,2021-12-02,US,EMI Catalogue
82,spotify:track:2gQPv5jvVPqU2a9HhMNO1v,BoyWithUke,Toxic,57,67,5,2381977,2021-12-02,US,Republic Records
83,spotify:track:4tHqQMWSqmL6YjXwsqthDI,"Mykola Dmytrovych Leontovych, John Williams",Carol of the Bells,44,-1,21,2381447,2021-12-02,US,Masterworks
84,spotify:track:0247StOpd3AkeBQzANX4Zf,Band Aid,Do They Know It's Christmas? - 1984 Version,19,-1,22,2374360,2021-12-02,US,EMI
85,spotify:track:65OVbaJR5O1RmwOQx0875b,"Drake, Lil Baby",Wants and Needs (feat. Lil Baby),2,82,39,2353758,2021-12-02,US,OVO
86,spotify:track:2Xr1dTzJee307rmrkt8c0g,CKay,love nwantiti (ah ah ah),30,63,11,2340219,2021-12-02,US,Chocolate City Music
87,spotify:track:01K4zKU104LyJ8gMb7227B,"Taylor Swift, Phoebe Bridgers",Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),5,35,3,2304578,2021-12-02,US,Taylor Swift
88,spotify:track:20on25jryn53hWghthWWW3,"ACRAZE, Cherish",Do It To It,88,102,3,2303647,2021-12-02,US,"Thrive Music, LLC"
89,spotify:track:4CkgMiMqZ5JzW9iYXSTMTL,"Taylor Swift, Chris Stapleton",I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),11,33,3,2293150,2021-12-02,US,Taylor Swift
90,spotify:track:7EkWXAI1wn8Ii883ecd9xr,Surf Curse,Freaks,31,89,32,2260116,2021-12-02,US,Surf Curse
91,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,1,78,105,2252595,2021-12-02,US,Republic Records
92,spotify:track:1Wf14bTyb6UeKojy8ykPYm,Andy Williams,Happy Holiday / The Holiday Season,92,-1,1,2234141,2021-12-02,US,Columbia
93,spotify:track:0uxSUdBrJy9Un0EYoBowng,Lil Uzi Vert,20 Min,67,91,95,2185643,2021-12-02,US,Generation Now/Atlantic
94,spotify:track:285pBltuF7vW8TeWk8hdRR,Juice WRLD,Lucid Dreams,1,80,187,2169265,2021-12-02,US,Juice WRLD Mixtape / ISR P&D
95,spotify:track:3YJJjQPAbDT7mGpX3WtQ9A,SZA,Good Days,1,132,49,2160967,2021-12-02,US,Top Dawg Entertainment/RCA Records
96,spotify:track:7nc7mlSdWYeFom84zZ8Wr8,"Cochise, $NOT",Tell Em,26,86,27,2148064,2021-12-02,US,Columbia
97,spotify:track:1GQ3cCJMAhLqWARyVZWxnO,"Bing Crosby, The Andrews Sisters",Mele Kalikimaka - Single Version,87,-1,8,2116357,2021-12-02,US,Geffen
98,spotify:track:4MrfQL4TYQXJBlZYpAHTuE,Dean Martin,"Baby, It's Cold Outside",47,-1,15,2101456,2021-12-02,US,Capitol Records
99,spotify:track:10ImcQk9tihY1EKMDIbvXJ,Adele,To Be Loved,13,13,2,2071382,2021-12-02,US,Columbia
100,spotify:track:3PIDciSFdrQxSQSihim3hN,Mariah Carey,Christmas (Baby Please Come Home),55,-1,13,2068052,2021-12-02,US,Columbia
1,spotify:track:2EjXfH91m7f8HiJN1yQg97,Brenda Lee,Rockin' Around The Christmas Tree,1,2,35,8434362,2021-12-16,US,MCA Nashville
2,spotify:track:0bYg9bo50gSsH3LtXe2SQn,Mariah Carey,All I Want for Christmas Is You,1,5,40,7859265,2021-12-16,US,Columbia
3,spotify:track:7vQbuQcyTflfCIOu3Uzzya,Bobby Helms,Jingle Bell Rock,3,4,34,7671189,2021-12-16,US,Geffen
4,spotify:track:1IcR6RlgvDczfvoWJSSY2A,Andy Williams,It's the Most Wonderful Time of the Year,4,10,32,6654467,2021-12-16,US,Columbia
5,spotify:track:5Z9KJZvQzH6PFmb8SNkxuk,"Lil Nas X, Jack Harlow",INDUSTRY BABY (feat. Jack Harlow),1,3,21,6605205,2021-12-16,US,Columbia
6,spotify:track:0QwKxajohg1rAMMmv1AWe1,Juice WRLD,Burn,6,-1,1,6432737,2021-12-16,US,Grade A Productions/Interscope Records
7,spotify:track:5dXWFMwD7I7zXsInONVl0H,SZA,I Hate U,1,1,2,6349621,2021-12-16,US,Top Dawg Entertainment/RCA Records
8,spotify:track:4so0Wek9Ig1p6CRCHuINwW,"Bing Crosby, Ken Darby Singers, John Scott Trotter & His Orchestra",White Christmas - 1947 Version,8,11,27,6212187,2021-12-16,US,Geffen
9,spotify:track:4fouWK6XVHhzl78KzQ1UjL,GAYLE,abcdefu,9,9,5,6134212,2021-12-16,US,Atlantic/Arthouse Records
10,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,4,7,55,5986746,2021-12-16,US,Polydor Records
11,spotify:track:5PjdY0CKGZdEuoNab3yDmX,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),1,8,23,5898226,2021-12-16,US,Columbia
12,spotify:track:46IZ0fSY2mpAiktS3KOqds,Adele,Easy On Me,1,6,9,5874914,2021-12-16,US,Columbia
13,spotify:track:77khP2fIVhSW23NwxrRluh,Burl Ives,A Holly Jolly Christmas,10,18,27,5685377,2021-12-16,US,Geffen
14,spotify:track:2FRnf9qhLbvw8fu4IBXx78,Wham!,Last Christmas,5,19,33,5602069,2021-12-16,US,Epic
15,spotify:track:0lLdorYw7lVrJydTINhWdI,Michael Bublé,It's Beginning to Look a Lot like Christmas,7,15,31,5586612,2021-12-16,US,143/Reprise
16,spotify:track:2quVkyLSVr5wX2QIhnexUt,Juice WRLD,Already Dead,7,80,5,5538235,2021-12-16,US,Grade A Productions/Interscope Records
17,spotify:track:1cA4wEmLkKlttS6N89LbJh,"Juice WRLD, Justin Bieber",Wandered To LA (with Justin Bieber),13,13,2,5493253,2021-12-16,US,Grade A Productions/Interscope Records
18,spotify:track:5R4Yrc2j4jw1itr4hKcN26,"Juice WRLD, Polo G, Trippie Redd",Feline (with Polo G & Trippie Redd),18,-1,1,5136233,2021-12-16,US,Grade A Productions/Interscope Records
