date,rank,song,artist,last-week,peak-rank,weeks-on-board
10/16/21,18,You Right,Doja Cat & The Weeknd,18,11,15
10/16/21,19,If I Didn't Love You,Jason Aldean & Carrie Underwood,21,15,11
10/16/21,20,Girls Want Girls,Drake Featuring Lil Baby,17,2,5
10/16/21,21,Traitor,Olivia Rodrigo,25,9,20
10/16/21,22,Take My Breath,The Weeknd,22,6,9
10/16/21,23,Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk,71,22,6
10/16/21,24,Chasing After You,Ryan Hurd With Maren Morris,27,24,23
10/16/21,25,Pepas,Farruko,29,25,11
10/16/21,26,Thats What I Want,Lil Nas X,24,10,3
10/16/21,27,Wockesha,Moneybagg Yo,20,20,24
10/16/21,28,Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,26,26,14
10/16/21,29,Happier Than Ever,Billie Eilish,31,11,10
10/16/21,30,Fair Trade,Drake Featuring Travis Scott,23,3,5
10/16/21,31,Deja Vu,Olivia Rodrigo,30,3,27
10/16/21,32,Cold Heart (PNAU Remix),Elton John & Dua Lipa,46,32,5
10/16/21,33,Memory I Don't Mess With,Lee Brice,43,33,11
10/16/21,34,A-O-K,Tai Verdes,35,34,14
10/16/21,35,Love Nwantiti (Ah Ah Ah),CKay,50,35,3
10/16/21,36,Intro (Hate On Me),Meek Mill,,36,1
10/16/21,37,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),33,1,31
10/16/21,38,Gyalis,Capella Grey,64,38,10
10/16/21,39,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,41,1,29
10/16/21,40,Leave Before You Love Me,Marshmello X Jonas Brothers,39,19,20
10/16/21,41,Love Again,Dua Lipa,57,41,12
10/16/21,42,My Boy,Elvie Shane,66,42,15
10/16/21,43,Buy Dirt,Jordan Davis Featuring Luke Bryan,55,43,9
10/16/21,44,Hurricane,Kanye West,34,6,6
10/16/21,45,I Was On A Boat That Day,Old Dominion,49,45,14
10/16/21,46,Family Ties,Baby Keem & Kendrick Lamar,42,18,6
10/16/21,47,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,47,44,4
10/16/21,48,Wild Side,Normani Featuring Cardi B,51,14,12
10/16/21,49,Late At Night,Roddy Ricch,44,20,18
10/16/21,50,Have Mercy,Chloe,56,28,4
10/16/21,51,You Should Probably Leave,Chris Stapleton,81,51,14
10/16/21,52,Whole Lotta Money,BIA Featuring Nicki Minaj,52,16,13
10/16/21,53,Cold As You,Luke Combs,65,53,10
10/16/21,54,You Time,Scotty McCreery,63,50,10
10/16/21,55,Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,68,53,24
10/16/21,56,Baddest,"Yung Bleu, Chris Brown & 2 Chainz",77,56,10
10/16/21,57,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,76,57,8
10/16/21,58,Butter,BTS,36,1,20
10/16/21,59,Too Easy,Gunna & Future,38,38,2
10/16/21,60,Hot,Meek Mill Featuring Moneybagg Yo,,60,1
10/16/21,61,Your Heart,Joyner Lucas & J. Cole,32,32,2
10/16/21,62,Woman,Doja Cat,75,62,10
10/16/21,63,2055,Sleepy Hallow,78,51,12
10/16/21,64,No Friends In The Industry,Drake,60,11,5
10/16/21,65,Champagne Poetry,Drake,54,4,5
10/16/21,66,Expensive Pain,Meek Mill,,66,1
10/16/21,67,Knowing You,Kenny Chesney,90,67,8
10/16/21,68,Memory,Kane Brown X blackbear,79,50,13
10/16/21,69,On My Soul,Meek Mill,,69,1
10/16/21,70,Thot Shit,Megan Thee Stallion,73,16,17
10/16/21,71,Drinkin' Beer. Talkin' God. Amen.,Chase Rice Featuring Florida Georgia Line,82,24,19
10/16/21,72,Blue Note$ II,Meek Mill Featuring Lil Uzi Vert,,72,2
10/16/21,73,Volvi,Aventura x Bad Bunny,85,22,10
10/16/21,74,Todo de Ti,Rauw Alejandro,86,32,19
10/16/21,75,Jugaste y Sufri,Eslabon Armado Featuring DannyLux,,75,1
10/16/21,76,Outside (100 MPH),Meek Mill,,76,1
10/16/21,77,Same Boat,Zac Brown Band,95,77,3
10/16/21,78,Last One Standing,"Skylar Grey, Polo G, Mozzy & Eminem",,78,1
10/16/21,79,In The Bible,Drake Featuring Lil Durk & Giveon,72,7,5
10/16/21,80,Chosen,Blxst & Tyga Featuring Ty Dolla $ign,98,80,2
10/16/21,81,Bad Morning,YoungBoy Never Broke Again,28,28,2
10/16/21,82,Yonaguni,Bad Bunny,89,10,18
10/16/21,83,The Feels,TWICE,,83,1
10/16/21,84,Summer Of Love,Shawn Mendes & Tainy,93,48,7
10/16/21,85,Get Into It (Yuh),Doja Cat,94,68,9
10/16/21,86,Nevada,YoungBoy Never Broke Again,58,58,2
10/16/21,87,Waves,Luke Bryan,70,24,16
10/16/21,88,Life Support,YoungBoy Never Broke Again,48,48,4
10/16/21,89,Me (FWM),Meek Mill Featuring A$AP Ferg,,89,1
10/16/21,90,Love Train,Meek Mill,,90,1
10/16/21,91,Feelin Like Tunechi,Lil Wayne Featuring Rich The Kid,,91,1
10/16/21,92,One Mississippi,Kane Brown,,73,2
10/16/21,93,Ghost,Justin Bieber,,66,2
10/16/21,94,Sand In My Boots,Morgan Wallen,,32,12
10/16/21,95,Ride For You,Meek Mill Featuring Kehlani,,95,1
10/16/21,96,Esta Danada,Ivan Cornejo,,96,1
10/16/21,97,Whiskey And Rain,Michael Ray,,97,1
10/16/21,98,TSU,Drake,84,9,5
10/16/21,99,Love All,Drake Featuring JAY-Z,87,10,5
10/16/21,100,No Where,YoungBoy Never Broke Again,40,40,2
10/9/21,1,My Universe,Coldplay x BTS,,1,1
10/9/21,2,Stay,The Kid LAROI & Justin Bieber,1,1,12
10/9/21,3,Industry Baby,Lil Nas X & Jack Harlow,2,2,10
10/9/21,4,Way 2 Sexy,Drake Featuring Future & Young Thug,3,1,4
10/9/21,5,Fancy Like,Walker Hayes,5,5,15
10/9/21,6,Bad Habits,Ed Sheeran,4,2,14
10/9/21,7,Good 4 U,Olivia Rodrigo,6,1,20
10/9/21,8,Kiss Me More,Doja Cat Featuring SZA,7,3,25
10/9/21,9,Knife Talk,Drake Featuring 21 Savage & Project Pat,8,4,4
10/9/21,10,Levitating,Dua Lipa,11,2,52
10/9/21,11,Essence,Wizkid Featuring Justin Bieber & Tems,14,11,13
10/9/21,12,Save Your Tears,The Weeknd & Ariana Grande,12,1,42
