title; rank; date; artist; chart
The Red Means I Love You;1;06/10/2021;Madds Buckley;viral50
love nwantiti (ah ah ah);2;06/10/2021;CKay;viral50
love nwantiti (feat. Dj Yo! & AX'EL) - Remix;3;06/10/2021;CKay;viral50
Está Dañada;4;06/10/2021;Ivan Cornejo;viral50
this is what falling in love feels like;5;06/10/2021;JVKE;viral50
Do It To It;6;06/10/2021;ACRAZE, Cherish;viral50
MONEY;7;06/10/2021;LISA;viral50
Have Mercy;8;06/10/2021;Chlöe;viral50
Two Moons;9;06/10/2021;BoyWithUke;viral50
In My Mind;10;06/10/2021;Lyn Lapid;viral50
Meet Me At Our Spot;11;06/10/2021;THE ANXIETY, WILLOW, Tyler Cole;viral50
Silk Chiffon (feat. Phoebe Bridgers);12;06/10/2021;MUNA;viral50
Jugaste y Sufrí;13;06/10/2021;Eslabon Armado, DannyLux;viral50
Life Goes On;14;06/10/2021;Oliver Tree;viral50
ONLY;15;06/10/2021;LeeHi;viral50
Bad Day;16;06/10/2021;Justus Bennetts;viral50
Monster Mash;17;06/10/2021;"Bobby ""Boris"" Pickett, The Crypt-Kickers";viral50
STEREOTYPE;18;06/10/2021;STAYC;viral50
Cold Heart - PNAU Remix;19;06/10/2021;Elton John, Dua Lipa;viral50
breadwinner;20;06/10/2021;Kacey Musgraves;viral50
Chop Chop Slide;21;06/10/2021;Insane Clown Posse;viral50
Linda;22;06/10/2021;Tokischa, ROSALÍA;viral50
Pepas;23;06/10/2021;Farruko;viral50
This Is Halloween;24;06/10/2021;Disney Characters;viral50
Gët Busy;25;06/10/2021;Yeat;viral50
Lay It Down;26;06/10/2021;benu;viral50
In My Room;27;06/10/2021;Insane Clown Posse;viral50
LALISA;28;06/10/2021;LISA;viral50
I GUESS I'M IN LOVE;29;06/10/2021;Clinton Kane;viral50
Something About You;30;06/10/2021;Eyedress, Dent May;viral50
Shivers;31;06/10/2021;Ed Sheeran;viral50
Close Eyes;32;06/10/2021;DVRST;viral50
Nostálgico;33;06/10/2021;Rvssian, Rauw Alejandro, Chris Brown;viral50
